good morning,,,ohayou,
hello,good afternoon,,konnichiha,
good evening,,,konbanha,
goodbye,,,sayounara,
see you,,,ja mata,
well,healthy,,genki,
meh,so so,,maa maa,
thank you,,,arigatou,
no worries,,,douitashimashite,
please,,,onegaishimasu,
is,,,desu,
listen,,,kiite,
look,,,mite,
write,,,kaite,
say,,,itte,
renshuu,,,practice,
once again,one more time,,mouichido,
great,nice,,ii,
excellent,,,subarashii,
understand,comprehend,,wakari,
question,,,shitsumon,
yes,,,hai,
no,,,iie,
sorry,excuse me,,sumimasen,
start,beginning,,hajime,
review,,,fukushuu,
finish,,,owari,
me,,,watashi,
you,,,anata,
teacher,,,sensei,kyoushi
student,,,gakusei,
employee,office worker,,kaishyain,
lawyer,,,bengoshi,
nurse,,,kangoshi,
engineer,,,enjinia,
hospital,,,byouin,
school,,,gakkou,
university,,,daigaku,
high school,,,koukou,
bank,,,ginkou,
company,,,kaisha,
country,,,kuni,
japan,,,nihon,
china,,,chuugoku,
germany,,,doitsu,
england,,,igirisu,
america,,,amerika,
australia,,,oosutoraria,
india,,,indo,
korea,,,kankoku,
france,,,furansu,
thailand,,,tai,
new zealand,,,nyuujirando,
nationality,,,kunijin,
