,,,,present positive,present negative,past positive,past negative,dictionary,volitional,te
,,,,masu,masen,mashita,masendeshita,ru,mashou,te
exist (animate),be (animate),stay,,imasu,imasen,imashita,imasendeshita,iru,imashou,ite
eat,,,,tabemasu,tabemasen,tabemashita,tabemasendeshita,taberu,tabemashou,tabete
see,watch,,,mimasu,mimasen,mimashita,mimasendeshita,miru,mimashou,mite
tell,teach,,,oshiemasu,oshiemasen,oshiemashita,oshiemasendeshita,oshieru,oshiemashou,oshiete
sleep,,,,nemasu,nemasen,nemashita,nemasendeshita,neru,nemashou,nete
wear,,,,kimasu,kimasen,kimashita,kimasendeshita,kiru,kimashou,kite
show,,,,misemasu,misemasen,misemashita,misemasendeshita,miseru,misemashou,misete
borrow,,,,karimasu,karimasen,karimashita,karimasendeshita,kariru,karimashou,karite
give,raise,,,agemasu,agemasen,agemashita,agemasendeshita,ageru,agemashou,agete
shower (verb),,,,shawaawoabimasu,shawaawoabimasen,shawaawoabimashita,shawaawoabimasendeshita,shawaawoabiru,shawaawoabimashou,shawaawoabite
start,begin,,,hajimemasu,hajimemasen,hajimemashita,hajimemasendeshita,hajimeru,hajimemashou,hajimete
sleep,,,,nemasu,nemasen,nemashita,nemasendeshita,neru,nemashou,nete
stop,,,,tomemasu,tomemasen,tomemashita,tomemasendeshita,tomeru,tomemashou,tomete
deliver,,,,todokemasu,todokemasen,todokemashita,todokemasendeshita,todokeru,todokemashou,todokete
leave,,,,demasu,demasen,demashita,demasendeshita,deru,demashou,dete
get off,,,,orimasu,orimasen,orimashita,orimasendeshita,oriru,orimashou,orite
