business trip,,,shucchou
so,,,sou
train,,,densha
subway,,,chikatetsu
car,,,kuruma
taxi,,,takushii
bullet train,,,shinkansen
airplane,,,hikouki
motorbike,,,baiku
bicycle,,,jitensha
festival,,,omatsuri
birthday,,,tanjoubi
summer,,,natsu
autumn,,,aki
winter,,,fuyu
spring,,,haru
break,,,yasumi
trip,,,ryokou
which month,,,nangatsu
which day (of the month),,,nannichi
which day (of the week),,,nanyoubi
walking,,,aruite
hotel,,,hoteru
sunday,,,nichiyoubi
monday,,,getsuyoubi
tuesday,,,kayoubi
wednesday,,,suiyoubi
thursday,,,mokuyoubi
friday,,,kinyoubi
saturday,,,doyoubi
january,,,ichigatsu
february,,,nigatsu
march,,,sangatsu
april,,,shigatsu
may,,,gogatsu
june,,,rokugatsu
july,,,shichigatsu
august,,,hachigatsu
september,,,kugatsu
october,,,juugatsu
november,,,juuichigatsu
december,,,juunigatsu
date,,,nichi
first (of the month),,,tsuitachi
second (of the month),,,futsuka
third (of the month),,,mikka
fourth (of the month),,,yokka
fifth (of the month),,,itsuka
sixth (of the month),,,muika
seventh (of the month),,,nanoka
eighth (of the month),,,youka
nineth (of the month),,,kokonoka
tenth (of the month),,,tooka
eleventh (of the month),,,juuichinichi
twelveth (of the month),,,juuninichi
thirteenth (of the month),,,juusannichi
fourteenth (of the month),,,juuyokka
fifteenth (of the month),,,juugonichi
sixteenth (of the month),,,juurokunichi
seventeenth (of the month),,,juushichinichi
eighteenth (of the month),,,juuhachinichi
nineteenth (of the month),,,juukunichi
twentieth (of the month),,,hatsuka
twenty first (of the month),,,nijuuichinichi
twenty second (of the month),,,nijuuninichi
twenty third (of the month),,,nijuusannichi
twenty fourth (of the month),,,nijuuyokka
twenty fifth (of the month),,,nijuugonichi
twenty sixth (of the month),,,nijuurokunichi
twenty seventh (of the month),,,nijuushichinichi
twenty eighth (of the month),,,nijuuhachinichi
twenty ninth (of the month),,,nijuukunichi
thirtieth (of the month),,,sanjuunichi
thirty first (of the month),,,sanjuuichinichi
