also,,sorekara,
near,close,chikai,
far,,tooi,
taxi stand,,takushii noriba,
bus terminal,,basu noriba,
dock,,booto noriba,
bus stop,,basutei,
police box,,kouban,
hospital,,byouin,
book store,,honnya,
bakery,,pannya,
ramen shop,,raamennya,
eraser,,keshigomu,
pencil,,enpitsu,
scissors,,hasami,
drawer,,hikidashi,
paper clip,,kurippu,
right there,,sugu soko,
many,much,takusan,
a little bit,,sukoshi,
child,,kodomo,ko
girl,,onna no ko,
boy,,otoko no ko,
woman (polite),,onna no hito,
man (polite),,otoko no hito,
on,,ue,
front,,mae,
next to,,tonari,
behind,,ushiro,
inside,,naka,
under,,shita,
about,,gurai,
